"time","x1","x2","der(x1)","der(x2)","u","y"
18.7,0.00680133743384739,2.99409832895655,2.99409832895655,0.7378784722844557,0.8045990781119691,0.00680133743384739
18.8,0.3050283274462055,2.922355481880532,2.922355481880532,-2.138583013888962,0.8075581004051143,0.3050283274462055
18.9,0.5822386647741444,2.581019336201866,2.581019336201866,-4.583974207673521,0.8104969337878096,0.5822386647741444
19,0.8142130889375303,2.029539143195833,2.029539143195833,-6.320275779733338,0.8134155047893737,0.8142130889375303
19.1,0.9835800990026552,1.340682888517458,1.340682888517458,-7.350376272131764,0.8163137404456835,0.9835800990026552
19.2,1.079899406482004,0.5777131464573985,0.5777131464573985,-7.832349356073094,0.8191915683009983,1.079899406482004
19.3,1.098224681100694,-0.2125404313951547,-0.2125404313951547,-7.912781737548301,0.8220489164097719,1.098224681100694
19.4,1.037723830188481,-0.9926945125188625,-0.9926945125188625,-7.623974343339771,0.8248857133384501,1.037723830188481
19.5,0.9013714905214952,-1.721756311297398,-1.721756311297398,-6.865091206178833,0.8277018881672577,0.9013714905214952
19.6,0.6969044107836485,-2.344298074321691,-2.344298074321691,-5.46602137706097,0.8304973704919705,0.6969044107836485
19.7,0.4384007935484732,-2.790149338556084,-2.790149338556084,-3.330994785914199,0.8332720904256761,0.4384007935484732
19.8,0.1470952450419066,-2.990350200581293,-2.990350200581293,-0.6017802851315809,0.8360259786005205,0.1470952450419066
19.9,-0.1500750271071236,-2.904450431449047,-2.904450431449047,2.305474792864166,0.838758966169443,-0.1500750271071236
20,-0.4244742051460448,-2.540502514954159,-2.540502514954159,4.881638113730342,0.8414709848078965,-0.4244742051460448
20.1,-0.6506294663682272,-1.950851874835826,-1.950851874835826,6.785955299742056,0.8441619667155564,-0.6506294663682272
20.2,-0.8095503823865985,-1.208215693733963,-1.208215693733963,7.94904710272931,0.8468318446180152,-0.8095503823865985
20.3,-0.8895160582100397,-0.3824520300939847,-0.3824520300939847,8.469565388403721,0.8494805517684644,-0.8895160582100397
20.4,-0.8852348584994221,0.4676814356957075,0.4676814356957075,8.445672911167415,0.852108021949363,-0.8852348584994221
20.5,-0.79695103358633,1.288452730015076,1.288452730015076,7.871106014768712,0.8547141894740935,-0.79695103358633
20.6,-0.6305026504169686,2.020039758588672,2.020039758588672,6.640792718436985,0.8572989891886034,-0.6305026504169686
20.7,-0.3982758520956802,2.591531474355234,2.591531474355234,4.664471898919312,0.8598623564730346,-0.3982758520956802
20.8,-0.1199601022529594,2.930872808616284,2.930872808616284,2.03639239759219,0.8624042272433384,-0.1199601022529594
20.9,0.1784747990061821,2.989122262475207,2.989122262475207,-0.8766330528010463,0.8649245379528779,0.1784747990061821
21,0.4683393230257069,2.763319440308443,2.763319440308443,-3.560860360392725,0.867423225594017,0.4683393230257069
21.1,0.7231277980301599,2.298077239863102,2.298077239863102,-5.621699905840098,0.8699002276996942,0.7231277980301599
21.2,0.9223229965461325,1.663789021236846,1.663789021236846,-6.946281129962451,0.8723554823449863,0.9223229965461325
21.3,1.052577509136367,0.9296707827833711,0.9296707827833711,-7.647185899988758,0.8747889281486549,1.052577509136367
21.4,1.106733830336174,0.1493460713471661,0.1493460713471661,-7.895309304428328,0.8772005042746817,1.106733830336174
21.5,1.082231630886376,-0.637527861115751,-0.637527861115751,-7.782712843767023,0.879590150433789,1.082231630886376
21.6,0.9802335521136897,-1.393876835039697,-1.393876835039697,-7.26649739554026,0.8819578068849475,0.9802335521136897
21.7,0.8060333784910144,-2.072300626222153,-2.072300626222153,-6.194067792125162,0.8843034144368691,0.8060333784910144
21.8,0.5704914111267045,-2.608822692638563,-2.608822692638563,-4.4112214326437,0.8866269144494873,0.5704914111267045
21.9,0.2914323104335321,-2.930913115279454,-2.930913115279454,-1.929724448890842,0.8889282488354225,0.2914323104335321
22,-0.006577550866473875,-2.981044464960608,-2.981044464960608,0.9557326687868166,0.8912073600614354,-0.006577550866473875
22.1,-0.295110954789119,-2.742979249604723,-2.742979249604723,3.746663550365365,0.8934641911498636,-0.295110954789119
22.2,-0.5466414773551502,-2.250106348876712,-2.250106348876712,5.995143318935226,0.8956986856800476,-0.5466414773551502
22.3,-0.738847416406213,-1.568877745946401,-1.568877745946401,7.504321059451063,0.8979107877897407,-0.738847416406213
22.4,-0.8565974076082457,-0.772685355513392,-0.772685355513392,8.312714997965797,0.900100442176505,-0.8565974076082457
22.5,-0.891704697355215,0.07424516468501524,0.07424516468501524,8.535856064279258,0.9022675940990952,-0.891704697355215
22.6,-0.8418957246691898,0.9167214824354054,0.9167214824354054,8.221760908257036,0.904412189378826,-0.8418957246691898
22.7,-0.7103696906681534,1.698536597755632,1.698536597755632,7.303773355906056,0.906534174400927,-0.7103696906681534
22.8,-0.5064092368438777,2.353396348774895,2.353396348774895,5.666878717684521,0.9086334961158833,-0.5064092368438777
22.9,-0.2463967497933364,2.807390608393567,2.807390608393567,3.303478256472643,0.9107101020407613,-0.2463967497933364
23,0.04623877647013092,2.997774778332716,2.997774778332716,0.4593231613129644,0.9127639402605211,0.04623877647013092
23.1,0.3434637467916983,2.899117103337602,2.899117103337602,-2.388727921832861,0.9147949594293141,0.3434637467916983
23.2,0.6172088626935597,2.536185495657745,2.536185495657745,-4.760844790055173,0.9168031087717669,0.6172088626935597
23.3,0.8439589419626319,1.971312074543071,1.971312074543071,-6.412025756193485,0.9187883380842506,0.8439589419626319
23.4,1.007170863278883,1.276980835053949,1.276980835053949,-7.371875398622088,0.9207505977361357,1.007170863278883
23.5,1.097099880432679,0.514386369668127,0.514386369668127,-7.807112727269848,0.9226898386710331,1.097099880432679
23.6,1.109271827078561,-0.2718076639576739,-0.2718076639576739,-7.859019380288396,0.9246060124080204,1.109271827078561
23.7,1.043149017586599,-1.045520406141827,-1.045520406141827,-7.549282512078851,0.926499071042854,1.043149017586599
23.8,0.9019232917824384,-1.76602223501505,-1.76602223501505,-6.767782017750283,0.9283689672491667,0.9019232917824384
23.9,0.6935604683260532,-2.377485525700733,-2.377485525700733,-5.341112696978267,0.9302156542796507,0.6935604683260532
24,0.4324100968498304,-2.80944041808457,-2.80944041808457,-3.178942310745423,0.9320390859672264,0.4324100968498304
24.1,0.139968070663211,-2.993536436575542,-2.993536436575542,-0.4347685750542597,0.9338392167261965,0.139968070663211
24.2,-0.1566865857184782,-2.891054080075456,-2.891054080075456,2.466429665651518,0.9356160015533859,-0.1566865857184782
24.3,-0.4289766556022658,-2.512134842416372,-2.512134842416372,5.017744713194965,0.9373693960292665,-0.4289766556022658
24.4,-0.6516685252758732,-1.910505052749862,-1.910505052749862,6.889000211547245,0.9390993563190676,-0.6516685252758732
24.5,-0.8060947427537505,-1.15921000155018,-1.15921000155018,8.019593825243847,0.9408058391738722,-0.8060947427537505
24.6,-0.8808589408109345,-0.3279479213861761,-0.3279479213861761,8.50880318304689,0.9424888019316976,-0.8808589408109345
24.7,-0.8709880854400702,0.5243650256555261,0.5243650256555261,8.448461793412216,0.9441482025185626,-0.8709880854400702
24.8,-0.7770976208542431,1.343082364819738,1.343082364819738,7.824684700056707,0.9457839994495391,-0.7770976208542431
24.9,-0.6055190715075204,2.066956025386975,2.066956025386975,6.53113962400792,0.9473961518297888,-0.6055190715075204
25,-0.3692608816823356,2.624150388688153,2.624150388688153,4.489670965419126,0.9489846193555862,-0.3692608816823356
25.1,-0.08864283816490468,2.943582588563597,2.943582588563597,1.818997248743494,0.9505493623153261,-0.08864283816490468
25.2,0.2099581369029852,2.97975974038685,2.97975974038685,-1.092499619323812,0.9520903415905158,0.2099581369029852
25.3,0.4978678372170742,2.73435094266354,2.73435094266354,-3.731190367904444,0.9536075186567538,0.4978678372170742
25.4,0.7490164235662601,2.255378559751209,2.255378559751209,-5.724712165249034,0.9551008555846923,0.7490164235662601
25.5,0.94353772883631,1.614068165070121,1.614068165070121,-6.985993696500928,0.956570315040986,0.94353772883631
25.6,1.068705904666891,0.8784258544319366,0.8784258544319366,-7.64121866954167,0.958015860289225,1.068705904666891
25.7,1.117820640697263,0.1002256236955728,0.1002256236955728,-7.861212241171733,0.9594374551908534,1.117820640697263
25.8,1.088609287432763,-0.6822933075431519,-0.6822933075431519,-7.730656920323639,0.9608350642060727,1.088609287432763
25.9,0.9824213551113739,-1.432639046040462,-1.432639046040462,-7.198177887442286,0.9622086523947302,0.9824213551113739
26,0.8047177886028477,-2.10327469354918,-2.10327469354918,-6.105871266675693,0.963558185417193,0.8047177886028477
26.1,0.5665569930610994,-2.629846930091439,-2.629846930091439,-4.300439486153513,0.9648836295352056,0.5665569930610994
26.2,0.285982880210056,-2.939890178538101,-2.939890178538101,-1.801221422144497,0.966184951612734,0.285982880210056
26.3,-0.01226900197716031,-2.976847218530746,-2.976847218530746,1.08781800896293,0.9674621191167944,-0.01226900197716031
26.4,-0.2997382053738016,-2.726118131645268,-2.726118131645268,3.865314727930238,0.9687151001182652,-0.2997382053738016
26.5,-0.549027251732546,-2.222548653374382,-2.222548653374382,6.089367802350602,0.9699438632926872,-0.549027251732546
26.6,-0.7380512369276749,-1.533243165973037,-1.533243165973037,7.571782666037395,0.9711483779210446,-0.7380512369276749
26.7,-0.8519430530902219,-0.7315758396151947,-0.7315758396151947,8.35495563801341,0.9723286138905346,-0.8519430530902219
26.8,-0.8827705755209335,0.1182935012569301,0.1182935012569301,8.551721253615995,0.9734845416953194,-0.8827705755209335
26.9,-0.8285292953936386,0.9607594654879018,0.9607594654879018,8.20397821180309,0.9746161324372641,-0.8285292953936386
27,-0.6927586001442,1.738640956780704,1.738640956780704,7.241000686705544,0.9757233578266591,-0.6927586001442
27.1,-0.4851876949055822,2.384626760545285,2.384626760545285,5.551939056308034,0.9768061901829274,-0.4851876949055822
27.2,-0.2227076016235524,2.824775002073948,2.824775002073948,3.144610696149255,0.9778646024353163,-0.2227076016235524
27.3,0.07083081792027397,2.998181234597015,2.998181234597015,0.2846291098274602,0.9788985681235747,0.07083081792027397
27.4,0.3672434003637039,2.882818355898912,2.882818355898912,-2.542313657765567,0.9799080613986142,0.3672434003637039
27.5,0.638662695017478,2.506762577267319,2.506762577267319,-4.867066323594233,0.9808930570231557,0.638662695017478
27.6,0.8620288305132753,1.933939758220524,1.933939758220524,-6.465552052365165,0.9818535303723598,0.8620288305132753
27.7,1.021312391018922,1.236491368042819,1.236491368042819,-7.3831211413479,0.9827894574344426,1.021312391018922
27.8,1.10718794072714,0.4742645095518857,0.4742645095518857,-7.790801999642127,0.9837008148112766,1.10718794072714
27.9,1.115460468736426,-0.3093964363484285,-0.3093964363484285,-7.825904683571125,0.9845875797189746,1.115460468736426
28,1.045766185010387,-1.079146814054412,-1.079146814054412,-7.503229929348981,0.9854497299884603,1.045766185010387
28.1,0.9014313028432842,-1.794331910747566,-1.794331910747566,-6.706869940973257,0.9862872440660216,0.9014313028432842
28.2,0.6905717537181697,-2.398799899171358,-2.398799899171358,-5.261654480528135,0.9871001010138504,0.6905717537181697
28.3,0.4277192182626779,-2.821864034148446,-2.821864034148446,-3.081266046386326,0.9878882805105652,0.4277192182626779
28.4,0.1345446543416409,-2.995597014282898,-2.995597014282898,-0.327252753712189,0.9886517628517197,0.1345446543416409
28.5,-0.1617795659562668,-2.8824589753562,-2.8824589753562,2.569534213776588,0.9893905289502953,-0.1617795659562668
28.6,-0.4327189715341108,-2.494001689141923,-2.494001689141923,5.103836929962736,0.9901045603371779,-0.4327189715341108
28.7,-0.6532036331238764,-1.884870617770758,-1.884870617770758,6.952661006565242,0.9907938391616198,-0.6532036331238764
28.8,-0.804785402527385,-1.128320423625181,-1.128320423625181,8.061347654590799,0.9914583481916864,-0.804785402527385
28.9,-0.876286447536775,-0.293919520902133,-0.293919520902133,8.529783007587882,0.9920980708146868,-0.876286447536775
29,-0.8629448696978561,0.5593614791442673,0.5593614791442673,8.445964647215506,0.9927129910375885,-0.8629448696978561
29.1,-0.7656148539586241,1.376364416373619,1.376364416373619,7.791440939410023,0.9933030934874181,-0.7656148539586241
